quit_year,group,rr_mean,rr_lower,rr_upper,rr_std
0,All,1.0000007514789024,0.9999682890368489,1.0000270392174462,1.5929195508350892e-05
2,All,1.0465344512430743,1.0462889271801772,1.0467589123657963,0.0001573131425591981
4,All,1.1002450806221402,1.0997127387692565,1.1008391712559151,0.0003051371264298515
6,All,1.1494496851763736,1.14852841359733,1.150435921607472,0.0005453350672313126
8,All,1.192851736702673,1.1912465480882406,1.1944784261802037,0.0008871806554219569
10,All,1.2301812940157908,1.228573171359959,1.2323792686333221,0.0010565994503940366
12,All,1.26171102192157,1.2595587450250136,1.2640297426074352,0.001314627464153325
14,All,1.2876867811862471,1.284674885293961,1.290649051246304,0.001608584942762618
16,All,1.308886986440812,1.3060488201687532,1.3113872281381072,0.0014913316038930795
18,All,1.324899870936296,1.3215508561762819,1.3272547844928788,0.0016768286127238857
20,All,1.3354475598270323,1.3324483885482006,1.3389561796235536,0.0018940888581301077
0,High_PRS,1.0000003119289218,0.9999439431869257,1.000045201876511,2.879815637247505e-05
2,High_PRS,1.0628177547694742,1.0623123546625661,1.0632041193861232,0.00025405488492656305
4,High_PRS,1.1392755650014559,1.13839400915834,1.140474338479587,0.0005677896406302838
6,High_PRS,1.211460766071044,1.2097447977289382,1.213014019584993,0.0008829571712157798
8,High_PRS,1.2768351645647562,1.2741475444307944,1.280268180015713,0.0014382630437995592
10,High_PRS,1.3348331129696127,1.330988335533575,1.3381003487638214,0.0018556047122908783
12,High_PRS,1.3858504685598014,1.3824341998785457,1.3896188399899463,0.0020737417302978027
14,High_PRS,1.4294931990180435,1.4255290803629534,1.4352800471965819,0.002710640219572337
16,High_PRS,1.466943992044532,1.4617125650523721,1.4715582222817147,0.0025389280154726316
18,High_PRS,1.4969301219031297,1.4931121552897175,1.5031178702678645,0.0027570167376013226
20,High_PRS,1.5204285337987908,1.5158653996302762,1.525040292246074,0.00269029847305109
0,Low_PRS,1.0000002529959604,0.9999715158678558,1.0000226823431295,1.411535156272309e-05
2,Low_PRS,1.0366017342247913,1.0364570208815171,1.036744859247949,7.896725242171873e-05
4,Low_PRS,1.076248723518431,1.0760074013499132,1.0765895077203813,0.00016615430760297806
6,Low_PRS,1.111227786407732,1.1107004098152609,1.1118540835580641,0.00031118520640920175
8,Low_PRS,1.1409174410865162,1.1402045302458768,1.1415900443504896,0.0003984410772125685
10,Low_PRS,1.1657727736400936,1.1650260335495584,1.1664689006085827,0.00042178630835738303
12,Low_PRS,1.1856534451280176,1.1847532795125284,1.1863657744617668,0.0004751711230181292
14,Low_PRS,1.201038378003763,1.1997141786052261,1.2020185037672217,0.0005936689051257954
16,Low_PRS,1.2118406829100605,1.2110162520026326,1.2131422807042007,0.0005664072276916119
18,Low_PRS,1.2187332677744482,1.2176844736995254,1.2199737355437479,0.0006047599147901394
20,Low_PRS,1.22106510089233,1.2194584417392593,1.222671874360872,0.0007739204784187021
