sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
0,-11064.416015625,22182.83203125,22396.226195168474,27,0.49211567640304565,-11073.6962890625,22195.392578125,22385.076279385867,24,-11141.79296875,22333.5859375,22531.173126313402,25,0.5178689360618591,18.560546875,0.00033698567149875736,154.75390625,0.0
1,-10928.7861328125,21911.572265625,22124.966429543474,27,0.4708766043186188,-10937.0439453125,21922.087890625,22111.771591885867,24,-10956.5791015625,21963.158203125,22160.745391938402,25,0.5005061626434326,16.515625,0.0008888039341483633,55.5859375,8.504308368628699e-13
2,-10767.0546875,21588.109375,21801.503538918474,27,0.5173394680023193,-10779.8173828125,21607.634765625,21797.318466885867,24,-10812.8818359375,21675.763671875,21873.350860688402,25,0.5412647128105164,25.525390625,1.1988624106340495e-05,91.654296875,0.0
3,-11209.00390625,22472.0078125,22685.401976418474,27,0.4374712109565735,-11199.6953125,22447.390625,22637.074326260867,24,-11235.857421875,22521.71484375,22719.302032563402,25,0.47727060317993164,0.0,1.0,53.70703125,2.176037128265307e-12
4,-10935.1982421875,21924.396484375,22137.790648293474,27,0.44234246015548706,-10940.99609375,21929.9921875,22119.675888760867,24,-10970.861328125,21991.72265625,22189.309845063402,25,0.4763150215148926,11.595703125,0.008904582159110275,71.326171875,3.3306690738754696e-16
5,-10940.025390625,21934.05078125,22147.444945168474,27,0.5360418558120728,-10970.9462890625,21989.892578125,22179.576279385867,24,-11009.0810546875,22068.162109375,22265.749298188402,25,0.5258750915527344,61.841796875,2.37476704967321e-13,138.111328125,0.0
6,-10417.6669921875,20889.333984375,21102.728148293474,27,0.52093106508255,-10444.9794921875,20937.958984375,21127.642685635867,24,-10440.25390625,20930.5078125,21128.095001313402,25,0.5373324751853943,54.625,8.254841254995426e-12,45.173828125,1.5510570605670182e-10
7,-11258.662109375,22571.32421875,22784.718382668474,27,0.39465567469596863,-11251.17578125,22550.3515625,22740.035263760867,24,-11295.166015625,22640.33203125,22837.919220063402,25,0.41886216402053833,0.0,1.0,73.0078125,1.1102230246251565e-16
8,-11192.2705078125,22438.541015625,22651.935179543474,27,0.49324527382850647,-11204.0927734375,22456.185546875,22645.869248135867,24,-11217.01953125,22484.0390625,22681.626251313402,25,0.5111672878265381,23.64453125,2.9633547970253638e-05,49.498046875,1.7849943745318342e-11
9,-11234.935546875,22523.87109375,22737.265257668474,27,0.507611095905304,-11235.08984375,22518.1796875,22707.863388760867,24,-11251.2255859375,22552.451171875,22750.038360688402,25,0.5208812355995178,0.30859375,0.9584042080348147,32.580078125,8.420268204911707e-08
10,-10785.9990234375,21625.998046875,21839.392210793474,27,0.4701484441757202,-10789.287109375,21626.57421875,21816.257920010867,24,-10837.1962890625,21724.392578125,21921.979766938402,25,0.5045129060745239,6.576171875,0.08670639592197071,102.39453125,0.0
11,-10868.5537109375,21791.107421875,22004.501585793474,27,0.41199812293052673,-10869.2197265625,21786.439453125,21976.123154385867,24,-10931.7587890625,21913.517578125,22111.104766938402,25,0.43701568245887756,1.33203125,0.7215413555877873,126.41015625,0.0
12,-10802.173828125,21658.34765625,21871.741820168474,27,0.46960121393203735,-10820.583984375,21689.16796875,21878.851670010867,24,-10841.2431640625,21732.486328125,21930.073516938402,25,0.48815906047821045,36.8203125,5.0223005088056993e-08,78.138671875,0.0
13,-11016.796875,22087.59375,22300.987913918474,27,0.4223487079143524,-11010.7373046875,22069.474609375,22259.158310635867,24,-11057.0546875,22164.109375,22361.696563813402,25,0.4469393491744995,0.0,1.0,80.515625,0.0
14,-10587.7119140625,21229.423828125,21442.817992043474,27,0.5541282296180725,-10611.94140625,21271.8828125,21461.566513760867,24,-10624.3173828125,21298.634765625,21496.221954438402,25,0.5588384866714478,48.458984375,1.700561913509091e-10,73.2109375,1.1102230246251565e-16
