sim_id,CoxPH_HR,CoxPH_beta_S,CoxPH_beta_GS,CoxPH_LL,CoxPH_AIC,CoxPH_BIC,CoxPH_nparams,Markov_RR,Markov_risk_never,Markov_risk_always,Markov_beta_S,Markov_beta_GS,Markov_LL,Markov_AIC,Markov_BIC,Markov_nparams,HMM_RR,HMM_risk_never,HMM_risk_always,HMM_beta_S,HMM_beta_GS,HMM_beta_Z,HMM_LL,HMM_AIC,HMM_BIC,HMM_nparams
0,1.1955129996033877,0.17857538163661957,0.350719153881073,-11147.062759399414,22348.125518798828,22561.519682717302,27,5.113837416777905,0.053727008402347565,0.2747511863708496,0.1754460483789444,0.35257792472839355,-11147.686660766602,22349.373321533203,22562.767485451677,27,6.326229953951272,0.053574346005916595,0.3389236330986023,-0.20584551990032196,0.4896763265132904,1.569869875907898,-11076.3779296875,22206.755859375,22420.150023293474,27
1,1.2530156923381253,0.22555319964885712,0.28062063455581665,-11052.682250976562,22159.364501953125,22372.7586658716,27,4.554243212700848,0.05681983754038811,0.2587713599205017,0.21984483301639557,0.2840244472026825,-11051.46760559082,22156.93521118164,22370.329375100115,27,5.523776913255501,0.055568140000104904,0.3069460093975067,-0.12469631433486938,0.473005473613739,1.3920387029647827,-10930.2734375,21914.546875,22127.941038918474,27
2,1.0631383397178868,0.06122523173689842,0.33164629340171814,-10843.805694580078,21741.611389160156,21955.00555307863,27,3.5152242818299073,0.060585230588912964,0.21297067403793335,0.04998558759689331,0.3186933100223541,-10862.539978027344,21779.079956054688,21992.47411997316,27,5.110672119556446,0.05616728961467743,0.28705260157585144,-0.29607781767845154,0.519286036491394,1.4153785705566406,-10757.599609375,21569.19921875,21782.593382668474,27
3,1.1115440159368342,0.10575005412101746,0.2686067223548889,-11281.94058227539,22617.88116455078,22831.275328469255,27,4.375908718053139,0.05761953815817833,0.25213783979415894,0.1405969262123108,0.26821330189704895,-11259.531158447266,22573.06231689453,22786.456480813005,27,5.814486654667014,0.05506804212927818,0.3201923966407776,-0.20369009673595428,0.4469270408153534,1.5240100622177124,-11201.6875,22457.375,22670.769163918474,27
4,1.1958568338748818,0.17886294424533844,0.2757774591445923,-11004.48275756836,22062.96551513672,22276.359679055193,27,3.3379204457082094,0.06280503422021866,0.20963820815086365,0.17008157074451447,0.2768048942089081,-11016.590881347656,22087.181762695312,22300.575926613787,27,5.621469058137028,0.05506950244307518,0.3095715045928955,-0.14778761565685272,0.43103498220443726,1.4556134939193726,-10942.4345703125,21938.869140625,22152.263304543474,27
5,1.0823333344397532,0.07911920547485352,0.34057554602622986,-11009.672668457031,22073.345336914062,22286.739500832537,27,4.261068058391526,0.057368725538253784,0.24445204436779022,0.12421394884586334,0.3772919476032257,-11021.372955322266,22096.74591064453,22310.140074563005,27,5.878276213530531,0.05454828590154648,0.3206498920917511,-0.24713735282421112,0.5251737833023071,1.5233867168426514,-10956.2724609375,21966.544921875,22179.939085793474,27
6,1.2419204172232203,0.21665890514850616,0.3509244918823242,-10485.54818725586,21025.09637451172,21238.490538430193,27,3.2903723028791325,0.06011951342225075,0.19781558215618134,0.24340508878231049,0.37532833218574524,-10489.3994140625,21032.798828125,21246.192992043474,27,5.106303520121718,0.053824592381715775,0.2748447060585022,-0.14708095788955688,0.512502908706665,1.3321717977523804,-10418.3681640625,20890.736328125,21104.130492043474,27
7,1.3037636316231858,0.2652551829814911,0.2210414856672287,-11354.895324707031,22763.790649414062,22977.184813332537,27,4.340022874866459,0.0583580918610096,0.25327545404434204,0.2770514488220215,0.21823608875274658,-11345.200561523438,22744.401123046875,22957.79528696535,27,6.270632430419627,0.0538562573492527,0.3377127945423126,-0.06836451590061188,0.3752482831478119,1.5113312005996704,-11253.9287109375,22561.857421875,22775.251585793474,27
8,1.2775625692526642,0.24495401978492737,0.34077879786491394,-11251.450103759766,22556.90020751953,22770.294371438005,27,3.5779217405256554,0.06236109510064125,0.22312311828136444,0.21016983687877655,0.3009205758571625,-11270.409545898438,22594.819091796875,22808.21325571535,27,5.6510475921341765,0.055799223482608795,0.315324068069458,-0.15447001159191132,0.49495163559913635,1.4467759132385254,-11197.15234375,22448.3046875,22661.698851418474,27
9,1.289332613759806,0.2541247308254242,0.33596593141555786,-11355.945617675781,22765.891235351562,22979.285399270037,27,4.386205555826379,0.05819791927933693,0.25526803731918335,0.2583257257938385,0.3422454595565796,-11338.176544189453,22730.353088378906,22943.74725229738,27,6.156274905973666,0.053962208330631256,0.33220618963241577,-0.09490920603275299,0.49467185139656067,1.4466495513916016,-11220.6982421875,22495.396484375,22708.790648293474,27
