quit_year,group,risk,rr_vs_never,rr_vs_always,benefit
0,All,0.151899054646492,0.9999918571823231,0.2848655663381082,0.7151344336618918
1,All,0.1571110337972641,1.0343037014706609,0.2946399088840998,0.7053600911159001
2,All,0.1642305999994278,1.081173698426225,0.3079916658320345,0.6920083341679655
3,All,0.17185337841510773,1.1313564751559757,0.32228712735091053,0.6777128726490895
4,All,0.17944252490997314,1.1813178440103833,0.33651951687640147,0.6634804831235985
5,All,0.18669816851615906,1.2290836746910843,0.3501264680837924,0.6498735319162077
6,All,0.19349455833435059,1.2738261155986015,0.36287215263804706,0.6371278473619529
7,All,0.19969545304775238,1.3146482539264381,0.37450106888408363,0.6254989311159164
8,All,0.2053688019514084,1.35199741794733,0.3851406462812888,0.6148593537187113
9,All,0.21036489307880402,1.3848880139866773,0.39451012084315845,0.6054898791568415
0,High PRS,0.3405180275440216,0.9999980742581106,0.35542803858641486,0.6445719614135852
1,High PRS,0.3527613580226898,1.0359530191092787,0.36820745872221294,0.6317925412777871
2,High PRS,0.36952170729637146,1.0851730769090326,0.38570168101444613,0.6142983189855539
3,High PRS,0.3874843120574951,1.1379237941011233,0.4044508010660235,0.5955491989339765
4,High PRS,0.4052553176879883,1.19011184281119,0.42299993257753427,0.5770000674224658
5,High PRS,0.42239198088645935,1.2404370203686852,0.4408869461740792,0.5591130538259208
6,High PRS,0.4384266436100006,1.2875259570707123,0.4576237068158816,0.5423762931841184
7,High PRS,0.4536236822605133,1.3321550461516836,0.4734861669588336,0.5265138330411664
8,High PRS,0.46787509322166443,1.3740071137775882,0.4883615939121277,0.5116384060878723
9,High PRS,0.48090434074401855,1.412270058401576,0.5019613434599796,0.49803865654002044
0,Low PRS,0.10474632680416107,1.0000361342666566,0.24529207113392745,0.7547079288660725
1,Low PRS,0.10819441080093384,1.0329557477363136,0.25336669953205226,0.7466333004679477
2,Low PRS,0.11290956288576126,1.0779723378856387,0.2644085131773288,0.7355914868226712
3,Low PRS,0.11798510700464249,1.1264296697540457,0.2762942829893786,0.7237057170106214
4,Low PRS,0.12300607562065125,1.1743659573378136,0.2880522493877794,0.7119477506122206
5,Low PRS,0.12778642773628235,1.2200050264680091,0.2992467466743995,0.7007532533256005
6,Low PRS,0.13222214579582214,1.2623537987476567,0.3096341893942282,0.6903658106057717
7,Low PRS,0.1362353265285492,1.3006685145808268,0.3190321458075913,0.6809678541924087
8,Low PRS,0.13973261415958405,1.3340578859284027,0.32722199792499773,0.6727780020750023
9,Low PRS,0.14268065989017487,1.3622035245012318,0.33412565044549286,0.6658743495545072
