scenario,parameter,estimate
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,psi,0.5
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
Null,gamma_S,0.10000000149011612
