quit_year,group,rr_mean,rr_lower,rr_upper,rr_std
0,All,1.0000019136183276,0.9999746078711641,1.0000331808847118,1.7417301632482866e-05
1,All,1.0188220806159998,1.018730221788516,1.0189364810448986,5.545300535003526e-05
2,All,1.0421214838326645,1.0418978662457372,1.0423218621772794,0.00012061865833805332
3,All,1.0656501098375364,1.0653828774536076,1.0661032486295876,0.0001836774398301223
4,All,1.0879262645235557,1.0874047301659164,1.0884121419910826,0.00026549404228227633
5,All,1.108672943515546,1.1080858843168968,1.1092097460816646,0.0003556937111625591
6,All,1.1275200437812491,1.1268312052162863,1.1282633176494439,0.0004045693965963478
7,All,1.1442336461312541,1.1433365033184661,1.1451869004096267,0.0004926923298186778
8,All,1.1590227030639182,1.1581306321082396,1.159841600640124,0.0005207721022882674
9,All,1.1715494819706538,1.1703250462056505,1.1726742377918153,0.0006369197238583003
0,High_PRS,1.00000120718216,0.999927182116623,1.0000748756773157,4.223409260725562e-05
1,High_PRS,1.0225596245263469,1.022451544242874,1.0227475247893716,7.870438805291848e-05
2,High_PRS,1.051740618545525,1.0514695859435212,1.0520289508032992,0.00015317273028446425
3,High_PRS,1.0821815469637217,1.0817641754343439,1.0826899439972735,0.00024620353021889257
4,High_PRS,1.1120808142964969,1.1112666899564123,1.1127505170117553,0.0004101154888861172
5,High_PRS,1.1408365350818195,1.139972985561302,1.1415895502728277,0.0004576602018012469
6,High_PRS,1.1679170186865786,1.1665707627753628,1.1690996275617604,0.0006434351483881684
7,High_PRS,1.193318144377461,1.191898268608667,1.1946702075063345,0.0008115406499150182
8,High_PRS,1.2167960406432556,1.214809765864262,1.2186446398570252,0.0009860466416360574
9,High_PRS,1.2383409157151124,1.2368640176077128,1.2406723570501155,0.001074485148473376
0,Low_PRS,0.9999982385433175,0.9999590679772384,1.0000469080689303,2.5917709779865043e-05
1,Low_PRS,1.0165247094954009,1.016453072220008,1.0165847787382511,3.7487175722511814e-05
2,Low_PRS,1.0362207366882716,1.0360735868668367,1.0363136993679338,6.793949728853167e-05
3,Low_PRS,1.0554211708785184,1.0552380797156469,1.0556139229583912,0.00010155932400032087
4,Low_PRS,1.0730197598879447,1.0727806594812577,1.0733022791415674,0.00013925810422000027
5,Low_PRS,1.088778560847974,1.088500404835834,1.089044209883744,0.0001540773754507853
6,Low_PRS,1.1024759029402948,1.102229204135943,1.1029049491497418,0.00018147390998158878
7,Low_PRS,1.1140724703896652,1.1136853369601385,1.1145641439170417,0.00023490446953491586
8,Low_PRS,1.1234507509642933,1.1229530145568836,1.1240342460743415,0.00026963418227734755
9,Low_PRS,1.1304905669675127,1.1299490510002903,1.131198558731809,0.0003417411379977285
